date,start,end,slot,price,description,pic_id
5/2/2024,18:15:00,20:00:00,20,45,"Step into the world of textile art with our Rug Tufting Workshop! Armed with a tufting gun and an array of colorful yarns, you’ll transform a blank canvas into a vibrant rug that expresses your style. This hands-on workshop not only teaches you a new craft but also lets you take home a masterpiece that's both personal and practical. Perfect for decorating your space or as a heartfelt gift.",1
4/2/2024,18:15:00,20:00:00,10,45,"Step into the world of textile art with our Rug Tufting Workshop! Armed with a tufting gun and an array of colorful yarns, you’ll transform a blank canvas into a vibrant rug that expresses your style. This hands-on workshop not only teaches you a new craft but also lets you take home a masterpiece that's both personal and practical. Perfect for decorating your space or as a heartfelt gift.",1
5/14/2024,18:15:00,20:00:00,12,45,"Step into the world of textile art with our Rug Tufting Workshop! Armed with a tufting gun and an array of colorful yarns, you’ll transform a blank canvas into a vibrant rug that expresses your style. This hands-on workshop not only teaches you a new craft but also lets you take home a masterpiece that's both personal and practical. Perfect for decorating your space or as a heartfelt gift.",1
5/16/2024,18:15:00,20:00:00,18,45,"Step into the world of textile art with our Rug Tufting Workshop! Armed with a tufting gun and an array of colorful yarns, you’ll transform a blank canvas into a vibrant rug that expresses your style. This hands-on workshop not only teaches you a new craft but also lets you take home a masterpiece that's both personal and practical. Perfect for decorating your space or as a heartfelt gift.Step into the world of textile art with our Rug Tufting Workshop! Armed with a tufting gun and an array of colorful yarns, you’ll transform a blank canvas into a vibrant rug that expresses your style. This hands-on workshop not only teaches you a new craft but also lets you take home a masterpiece that's both personal and practical. Perfect for decorating your space or as a heartfelt gift.",1
4/16/2024,18:15:00,20:00:00,15,45,"Step into the world of textile art with our Rug Tufting Workshop! Armed with a tufting gun and an array of colorful yarns, you’ll transform a blank canvas into a vibrant rug that expresses your style. This hands-on workshop not only teaches you a new craft but also lets you take home a masterpiece that's both personal and practical. Perfect for decorating your space or as a heartfelt gift.",1
3/14/2024,18:00:00,20:00:00,20,25,"Unleash your inner artist at our Paint 'n' Sip Event! With a brush in one hand and a wine glass in the other, lose yourself in the joy of painting in a fun, supportive environment. Whether you’re a seasoned painter or a curious newbie, this event promises laughter, relaxation, and a chance to create something beautiful. Come for the paint, stay for the pinot, and leave with your own canvas masterpiece!",2
4/9/2024,18:00:00,20:00:00,25,25,"Unleash your inner artist at our Paint 'n' Sip Event! With a brush in one hand and a wine glass in the other, lose yourself in the joy of painting in a fun, supportive environment. Whether you’re a seasoned painter or a curious newbie, this event promises laughter, relaxation, and a chance to create something beautiful. Come for the paint, stay for the pinot, and leave with your own canvas masterpiece!",2
3/14/2024,18:00:00,20:00:00,12,25,"Unleash your inner artist at our Paint 'n' Sip Event! With a brush in one hand and a wine glass in the other, lose yourself in the joy of painting in a fun, supportive environment. Whether you’re a seasoned painter or a curious newbie, this event promises laughter, relaxation, and a chance to create something beautiful. Come for the paint, stay for the pinot, and leave with your own canvas masterpiece!",2
5/14/2024,18:15:00,20:00:00,20,25,"Unleash your inner artist at our Paint 'n' Sip Event! With a brush in one hand and a wine glass in the other, lose yourself in the joy of painting in a fun, supportive environment. Whether you’re a seasoned painter or a curious newbie, this event promises laughter, relaxation, and a chance to create something beautiful. Come for the paint, stay for the pinot, and leave with your own canvas masterpiece!",2
5/9/2024,18:00:00,20:00:00,25,25,"Unleash your inner artist at our Paint 'n' Sip Event! With a brush in one hand and a wine glass in the other, lose yourself in the joy of painting in a fun, supportive environment. Whether you’re a seasoned painter or a curious newbie, this event promises laughter, relaxation, and a chance to create something beautiful. Come for the paint, stay for the pinot, and leave with your own canvas masterpiece!",2
5/17/2024,18:00:00,20:00:00,12,45,"Illuminate your creativity at our Candle Making Workshop! Dive into the art of candle crafting and learn how to blend scents and wax to create candles that light up your rooms and soothe your soul. Each participant will design and pour their own candles, choosing from a variety of fragrances and colors. It’s the perfect way to add a touch of warmth to your home or to craft a thoughtful, handmade gift.",3
5/24/2024,18:00:00,20:00:00,12,45,"Explore the enchanting world of fragrances at our Perfume Making Workshop. This immersive experience guides you through the delicate art of perfume creation. From floral to earthy notes, blend your own signature scent that captures your essence and style. Ideal for those who appreciate the subtle art of perfumery or anyone looking for a unique, personalized treasure.",4
6/5/2024,18:15:00,20:00:00,20,45,"Step into the world of textile art with our Rug Tufting Workshop! Armed with a tufting gun and an array of colorful yarns, you’ll transform a blank canvas into a vibrant rug that expresses your style. This hands-on workshop not only teaches you a new craft but also lets you take home a masterpiece that's both personal and practical. Perfect for decorating your space or as a heartfelt gift.",1
6/12/2024,18:00:00,20:00:00,25,25,"Unleash your inner artist at our Paint 'n' Sip Event! With a brush in one hand and a wine glass in the other, lose yourself in the joy of painting in a fun, supportive environment. Whether you’re a seasoned painter or a curious newbie, this event promises laughter, relaxation, and a chance to create something beautiful. Come for the paint, stay for the pinot, and leave with your own canvas masterpiece!",2
6/19/2024,18:00:00,20:00:00,15,45,"Illuminate your creativity at our Candle Making Workshop! Dive into the art of candle crafting and learn how to blend scents and wax to create candles that light up your rooms and soothe your soul. Each participant will design and pour their own candles, choosing from a variety of fragrances and colors. It’s the perfect way to add a touch of warmth to your home or to craft a thoughtful, handmade gift.",3
6/26/2024,18:00:00,20:00:00,15,45,"Explore the enchanting world of fragrances at our Perfume Making Workshop. This immersive experience guides you through the delicate art of perfume creation. From floral to earthy notes, blend your own signature scent that captures your essence and style. Ideal for those who appreciate the subtle art of perfumery or anyone looking for a unique, personalized treasure.",4
